trade_type,fr_orig,fr_inmode,fr_dest,fr_outmode,dms_orig,dms_dest,dms_dest_cnty,sctgG5,dms_mode,tons_2022
1,,,,,560,151,15003,sctg0109,11,0.0002400
2,801,1,,,160,151,15003,sctg0109,11,0.0000000
2,801,1,,,160,151,15003,sctg0109,5,0.0085520
2,801,1,,,160,159,15001,sctg0109,11,0.0000000
2,801,1,,,160,159,15001,sctg0109,5,0.0015472
2,801,1,,,160,159,15005,sctg0109,11,0.0000000
2,801,1,,,160,159,15005,sctg0109,5,0.0001862
2,801,1,,,160,159,15007,sctg0109,11,0.0000000
2,801,1,,,160,159,15007,sctg0109,5,0.0007577
2,801,1,,,160,159,15009,sctg0109,11,0.0000000
2,801,1,,,160,159,15009,sctg0109,5,0.0013069
2,801,1,,,230,151,15003,sctg0109,5,0.0000000
2,801,1,,,230,159,15001,sctg0109,5,0.0000000
2,801,1,,,230,159,15005,sctg0109,5,0.0000000
2,801,1,,,230,159,15007,sctg0109,5,0.0000000
2,801,1,,,230,159,15009,sctg0109,5,0.0000000
2,801,1,,,261,151,15003,sctg0109,11,0.0000000
2,801,1,,,261,151,15003,sctg0109,5,0.1013120
2,801,1,,,261,159,15001,sctg0109,11,0.0000000
2,801,1,,,261,159,15001,sctg0109,5,0.0183291
2,801,1,,,261,159,15005,sctg0109,11,0.0000000
2,801,1,,,261,159,15005,sctg0109,5,0.0022063
2,801,1,,,261,159,15007,sctg0109,11,0.0000000
2,801,1,,,261,159,15007,sctg0109,5,0.0089759
2,801,1,,,261,159,15009,sctg0109,11,0.0000000
2,801,1,,,261,159,15009,sctg0109,5,0.0154816
2,801,1,,,300,151,15003,sctg0109,11,0.0000000
2,801,1,,,300,151,15003,sctg0109,5,0.0498570
2,801,1,,,300,159,15001,sctg0109,11,0.0000000
2,801,1,,,300,159,15001,sctg0109,5,0.0090202
2,801,1,,,300,159,15005,sctg0109,11,0.0000000
2,801,1,,,300,159,15005,sctg0109,5,0.0010858
2,801,1,,,300,159,15007,sctg0109,11,0.0000000
2,801,1,,,300,159,15007,sctg0109,5,0.0044172
2,801,1,,,300,159,15009,sctg0109,11,0.0000000
2,801,1,,,300,159,15009,sctg0109,5,0.0076188
2,801,1,,,362,151,15003,sctg0109,11,0.0000000
2,801,1,,,362,151,15003,sctg0109,5,0.1046800
2,801,1,,,362,159,15001,sctg0109,11,0.0000000
2,801,1,,,362,159,15001,sctg0109,5,0.0189382
2,801,1,,,362,159,15005,sctg0109,11,0.0000000
2,801,1,,,362,159,15005,sctg0109,5,0.0022797
2,801,1,,,362,159,15007,sctg0109,11,0.0000000
2,801,1,,,362,159,15007,sctg0109,5,0.0092742
2,801,1,,,362,159,15009,sctg0109,11,0.0000000
2,801,1,,,362,159,15009,sctg0109,5,0.0159960
2,801,1,,,369,151,15003,sctg0109,5,0.0000000
2,801,1,,,369,159,15001,sctg0109,5,0.0000000
2,801,1,,,369,159,15005,sctg0109,5,0.0000000
2,801,1,,,369,159,15007,sctg0109,5,0.0000000
2,801,1,,,369,159,15009,sctg0109,5,0.0000000
2,801,1,,,380,151,15003,sctg0109,11,0.0000000
2,801,1,,,380,151,15003,sctg0109,5,0.1050640
2,801,1,,,380,159,15001,sctg0109,11,0.0000000
2,801,1,,,380,159,15001,sctg0109,5,0.0190078
2,801,1,,,380,159,15005,sctg0109,11,0.0000000
2,801,1,,,380,159,15005,sctg0109,5,0.0022880
2,801,1,,,380,159,15007,sctg0109,11,0.0000000
2,801,1,,,380,159,15007,sctg0109,5,0.0093083
2,801,1,,,380,159,15009,sctg0109,11,0.0000000
2,801,1,,,380,159,15009,sctg0109,5,0.0160549
2,801,1,,,539,151,15003,sctg0109,11,0.0000000
2,801,1,,,539,151,15003,sctg0109,5,4.3678410
2,801,1,,,539,159,15001,sctg0109,11,0.0000000
2,801,1,,,539,159,15001,sctg0109,5,0.7902150
2,801,1,,,539,159,15005,sctg0109,11,0.0000000
2,801,1,,,539,159,15005,sctg0109,5,0.0951210
2,801,1,,,539,159,15007,sctg0109,11,0.0000000
2,801,1,,,539,159,15007,sctg0109,5,0.3869741
2,801,1,,,539,159,15009,sctg0109,11,0.0000000
2,801,1,,,539,159,15009,sctg0109,5,0.6674509
2,801,2,,,261,151,15003,sctg0109,5,0.0371180
2,801,2,,,261,159,15001,sctg0109,5,0.0067152
2,801,2,,,261,159,15005,sctg0109,5,0.0008083
2,801,2,,,261,159,15007,sctg0109,5,0.0032885
2,801,2,,,261,159,15009,sctg0109,5,0.0056720
2,801,2,,,362,151,15003,sctg0109,5,0.0000000
2,801,2,,,362,159,15001,sctg0109,5,0.0000000
2,801,2,,,362,159,15005,sctg0109,5,0.0000000
2,801,2,,,362,159,15007,sctg0109,5,0.0000000
2,801,2,,,362,159,15009,sctg0109,5,0.0000000
2,801,2,,,369,151,15003,sctg0109,5,0.0000000
2,801,2,,,369,159,15001,sctg0109,5,0.0000000
2,801,2,,,369,159,15005,sctg0109,5,0.0000000
2,801,2,,,369,159,15007,sctg0109,5,0.0000000
2,801,2,,,369,159,15009,sctg0109,5,0.0000000
2,801,3,,,064,151,15003,sctg0109,3,0.0000000
2,801,3,,,064,159,15001,sctg0109,3,0.0000000
2,801,3,,,064,159,15007,sctg0109,3,0.0000000
2,801,3,,,064,159,15009,sctg0109,3,0.0000000
2,801,4,,,212,151,15003,sctg0109,11,0.0009470
2,801,4,,,212,159,15001,sctg0109,11,0.0001715
2,801,4,,,212,159,15005,sctg0109,11,0.0000206
2,801,4,,,212,159,15007,sctg0109,11,0.0000840
2,801,4,,,212,159,15009,sctg0109,11,0.0001449
2,801,4,,,363,151,15003,sctg0109,11,0.0000000
2,801,4,,,363,159,15001,sctg0109,11,0.0000000
2,801,4,,,363,159,15005,sctg0109,11,0.0000000
2,801,4,,,363,159,15007,sctg0109,11,0.0000000
2,801,4,,,363,159,15009,sctg0109,11,0.0000000
2,801,4,,,471,151,15003,sctg0109,11,0.0000030
2,801,4,,,471,159,15001,sctg0109,11,0.0000000
2,801,4,,,471,159,15005,sctg0109,11,0.0000000
2,801,4,,,471,159,15007,sctg0109,11,0.0000000
2,801,4,,,471,159,15009,sctg0109,11,0.0000000
2,801,5,,,261,151,15003,sctg0109,5,0.0074070
2,801,5,,,261,159,15001,sctg0109,5,0.0013325
2,801,5,,,261,159,15005,sctg0109,5,0.0001604
2,801,5,,,261,159,15007,sctg0109,5,0.0006526
2,801,5,,,261,159,15009,sctg0109,5,0.0011255
2,801,5,,,362,151,15003,sctg0109,5,0.0002030
2,801,5,,,362,159,15001,sctg0109,5,0.0000367
2,801,5,,,362,159,15005,sctg0109,5,0.0000044
2,801,5,,,362,159,15007,sctg0109,5,0.0000180
2,801,5,,,362,159,15009,sctg0109,5,0.0000310
2,801,5,,,539,151,15003,sctg0109,5,0.0167720
2,801,5,,,539,159,15001,sctg0109,5,0.0030346
2,801,5,,,539,159,15005,sctg0109,5,0.0003653
2,801,5,,,539,159,15007,sctg0109,5,0.0014860
2,801,5,,,539,159,15009,sctg0109,5,0.0025631
2,802,1,,,042,151,15003,sctg0109,5,0.3208970
2,802,1,,,042,159,15001,sctg0109,5,0.0580554
2,802,1,,,042,159,15005,sctg0109,5,0.0069883
2,802,1,,,042,159,15007,sctg0109,5,0.0284301
2,802,1,,,042,159,15009,sctg0109,5,0.0490362
2,802,1,,,063,151,15003,sctg0109,11,0.0000000
2,802,1,,,063,151,15003,sctg0109,5,0.0000000
2,802,1,,,063,159,15001,sctg0109,11,0.0000000
2,802,1,,,063,159,15001,sctg0109,5,0.0000000
2,802,1,,,063,159,15005,sctg0109,11,0.0000000
2,802,1,,,063,159,15005,sctg0109,5,0.0000000
2,802,1,,,063,159,15007,sctg0109,11,0.0000000
2,802,1,,,063,159,15007,sctg0109,5,0.0000000
2,802,1,,,063,159,15009,sctg0109,11,0.0000000
2,802,1,,,063,159,15009,sctg0109,5,0.0000000
2,802,1,,,487,151,15003,sctg0109,11,0.0000000
2,802,1,,,487,151,15003,sctg0109,5,0.0998190
2,802,1,,,487,159,15001,sctg0109,11,0.0000000
2,802,1,,,487,159,15001,sctg0109,5,0.0180590
2,802,1,,,487,159,15005,sctg0109,11,0.0000000
2,802,1,,,487,159,15005,sctg0109,5,0.0021738
2,802,1,,,487,159,15007,sctg0109,11,0.0000000
2,802,1,,,487,159,15007,sctg0109,5,0.0088436
2,802,1,,,487,159,15009,sctg0109,11,0.0000000
2,802,1,,,487,159,15009,sctg0109,5,0.0152535
2,802,3,,,061,151,15003,sctg0109,5,0.0409880
2,802,3,,,061,159,15001,sctg0109,3,0.0057607
2,802,3,,,061,159,15007,sctg0109,3,0.0062959
2,802,3,,,061,159,15009,sctg0109,3,0.0061463
2,802,3,,,064,151,15003,sctg0109,3,0.3960070
2,802,3,,,064,159,15001,sctg0109,3,0.0556569
2,802,3,,,064,159,15007,sctg0109,3,0.0608278
2,802,3,,,064,159,15009,sctg0109,3,0.0593823
2,802,4,,,061,151,15003,sctg0109,11,0.0000000
2,802,4,,,061,159,15001,sctg0109,11,0.0000000
2,802,4,,,061,159,15005,sctg0109,11,0.0000000
2,802,4,,,061,159,15007,sctg0109,11,0.0000000
2,802,4,,,061,159,15009,sctg0109,11,0.0000000
2,802,4,,,321,151,15003,sctg0109,11,0.0000000
2,803,3,,,061,151,15003,sctg0109,5,0.0527640
2,803,3,,,061,159,15001,sctg0109,3,0.0074156
2,803,3,,,061,159,15007,sctg0109,3,0.0081045
2,803,3,,,061,159,15009,sctg0109,3,0.0079119
2,803,3,,,064,151,15003,sctg0109,3,0.0607360
2,803,3,,,064,151,15003,sctg0109,5,0.0296990
2,803,3,,,064,159,15001,sctg0109,3,0.0085362
2,803,3,,,064,159,15001,sctg0109,5,0.0053729
2,803,3,,,064,159,15005,sctg0109,5,0.0006468
2,803,3,,,064,159,15007,sctg0109,3,0.0093293
2,803,3,,,064,159,15007,sctg0109,5,0.0026311
2,803,3,,,064,159,15009,sctg0109,3,0.0091076
2,803,3,,,064,159,15009,sctg0109,5,0.0045382
2,803,3,,,122,151,15003,sctg0109,3,0.0000000
2,803,3,,,122,151,15003,sctg0109,5,0.0729730
2,803,3,,,122,159,15001,sctg0109,3,0.0000000
2,803,3,,,122,159,15001,sctg0109,5,0.0132019
2,803,3,,,122,159,15005,sctg0109,5,0.0015892
2,803,3,,,122,159,15007,sctg0109,3,0.0000000
2,803,3,,,122,159,15007,sctg0109,5,0.0064651
2,803,3,,,122,159,15009,sctg0109,3,0.0000000
2,803,3,,,122,159,15009,sctg0109,5,0.0111509
2,803,3,,,171,151,15003,sctg0109,5,0.0306520
2,803,3,,,171,159,15001,sctg0109,5,0.0055452
2,803,3,,,171,159,15005,sctg0109,5,0.0006675
2,803,3,,,171,159,15007,sctg0109,5,0.0027155
2,803,3,,,171,159,15009,sctg0109,5,0.0046837
2,803,3,,,223,151,15003,sctg0109,5,0.0261370
2,803,3,,,223,159,15001,sctg0109,5,0.0047288
2,803,3,,,223,159,15005,sctg0109,5,0.0005692
2,803,3,,,223,159,15007,sctg0109,5,0.0023157
2,803,3,,,223,159,15009,sctg0109,5,0.0039942
2,803,3,,,341,151,15003,sctg0109,3,0.0404420
2,803,3,,,341,151,15003,sctg0109,5,0.0613840
2,803,3,,,341,159,15001,sctg0109,3,0.0056838
2,803,3,,,341,159,15001,sctg0109,5,0.0111055
2,803,3,,,341,159,15005,sctg0109,5,0.0013368
2,803,3,,,341,159,15007,sctg0109,3,0.0062119
2,803,3,,,341,159,15007,sctg0109,5,0.0054385
2,803,3,,,341,159,15009,sctg0109,3,0.0060643
2,803,3,,,341,159,15009,sctg0109,5,0.0093802
2,803,3,,,363,151,15003,sctg0109,5,0.0000000
2,803,3,,,363,159,15001,sctg0109,5,0.0000000
2,803,3,,,363,159,15005,sctg0109,5,0.0000000
2,803,3,,,363,159,15007,sctg0109,5,0.0000000
2,803,3,,,363,159,15009,sctg0109,5,0.0000000
2,803,3,,,486,151,15003,sctg0109,5,0.0000000
2,803,3,,,486,159,15001,sctg0109,5,0.0000000
2,803,3,,,486,159,15005,sctg0109,5,0.0000000
2,803,3,,,486,159,15007,sctg0109,5,0.0000000
2,803,3,,,486,159,15009,sctg0109,5,0.0000000
2,803,4,,,061,151,15003,sctg0109,11,0.1202650
2,803,4,,,061,159,15001,sctg0109,11,0.0217580
2,803,4,,,061,159,15005,sctg0109,11,0.0026191
2,803,4,,,061,159,15007,sctg0109,11,0.0106551
2,803,4,,,061,159,15009,sctg0109,11,0.0183778
2,803,4,,,064,151,15003,sctg0109,11,0.0000000
2,803,4,,,064,159,15001,sctg0109,11,0.0000000
2,803,4,,,064,159,15005,sctg0109,11,0.0000000
2,803,4,,,064,159,15007,sctg0109,11,0.0000000
2,803,4,,,064,159,15009,sctg0109,11,0.0000000
2,803,4,,,122,151,15003,sctg0109,11,0.0098400
2,803,4,,,122,159,15001,sctg0109,11,0.0017802
2,803,4,,,122,159,15005,sctg0109,11,0.0002143
2,803,4,,,122,159,15007,sctg0109,11,0.0008718
